;;10s;;;;;;;;;;;15s;;;;;;;;;;;30s;;;;;;;;;;;;;
Participant;Skinfold Thickness (limit 15mm);SmO2 Lowest;SmO2 max;ΔSmO2;t1/2 (s);MRT τ (s);Time to desaturation at Physiological baseline ;Linear Desaturation (SmO2/s) first 10s of EXERCISE;MAX Linear Rate desaturation (SmO2/s) EXERCISE;Linear Rate Resaturation first 18s post Exercise based on Mean τ;MAX Linear Rate resaturation (SmO2/s) RECOVERY;Mono-exponential r2 (60s recovery);SmO2 Lowest;SmO2 max;ΔSmO2;t1/2 (s);MRT τ (s);Time to desaturation at Physiological baseline ;Linear Desaturation (SmO2/s) first 10s of EXERCISE;MAX Linear Rate desaturation (SmO2/s) EXERCISE;Linear Rate Resaturation first 18s post Exercise based on Mean τ;MAX Linear Rate resaturation (SmO2/s) RECOVERY;Mono-exponential r2 (60s recovery);SmO2 Lowest;SmO2 max;ΔSmO2;t1/2 (s);MRT τ (s);Time to desaturation at Physiological baseline ;Linear Desaturation (SmO2/s) first 10s of EXERCISE;MAX Linear Rate desaturation (SmO2/s) EXERCISE;Linear Rate Resaturation first 18s post Exercise based on Mean τ;MAX Linear Rate resaturation (SmO2/s) RECOVERY;Mono-exponential r2 (60s recovery);Desaturation 30s t1/2 (s);mono exp 30s desaturation τ MRT (s);Mono-exponential r2 (30s)
1;5.6;11;79;68;8.6;12.3;10;5.4;6.75;3;4.5;0.987;;;;;;;;;;;;7;81;74;8.14;11.68;8;6.8;9.8;3;4.8;0.989;3.01;4.5;0.89
2;7.5;13;80;67;12.2;17.4;10;6.5;6.5;2.16;2.9;0.975;;;;;;;;;;;;14;79;71;14.26;20.45;12;4.7;7.5;2.16;2.7;0.974;2.76;4.46;0.976
3;9;0;89;89;6.65;9.55;8;7.6;9;4.38;6.1;0.985;19;79;60;10.1;14.5;10;4.6;4.6;2.27;2.6;0.977;12;83;71;12.62;18.11;10;5.7;9.5;2.4;5.5;0.975;2.74;3.96;0.89
4;7.2;12;83;71;11.55;16.3;10;5.7;6.13;2.44;5.5;0.975;0;78;78;14.37;20.17;8;6.1;9;2.27;3.8;0.956;2;78;76;14.4;20.29;10;6.2;11;2.3;4;0.976;2.62;3.76;0.898
5;12.5;72;90;18;8;11.5;10;1.8;3.5;0.39;1.38;0.857;64;89;25;3.23;4.64;12;2;3.5;1.27;5;0.877;3;77;74;13.05;18.71;6;6.4;16.25;3.2;4;0.893;2.08;2.98;0.781
6;5;0;78;78;15.6;22.35;8;7.5;9.38;1.61;2.22;0.907;0;64;64;8.54;12.25;15;6.6;11.75;3;4.3;0.937;20;80;60;5.25;7.53;8;6.8;14.5;2.88;5.1;0.98;1.83;2.62;0.938
7;10;15;78;63;7.35;10.55;10;6.9;7.75;3;6;0.954;0;71;71;9.8;15.14;12;7.1;14;3.55;3.6;0.95;18;86;69;6.98;10.01;8;8.1;18;3.11;7.5;0.993;1.64;2.35;0.917
8;11.2;37;88;51;8.15;11.7;10;3.5;5.5;1.94;2.33;0.978;42;91;49;18.89;26.08;10;3.4;6;1.05;2.8;0.913;35;83;48;12.11;17.37;14;4.4;7.5;1.88;2.5;0.988;3.86;5.53;0.935
9;8.2;2;78;76;23.75;31.75;8;6.6;9.33;1.94;3;0.965;13;74;61;11.61;16.65;16;4.9;10;2.11;6.5;0.984;0;77;77;12.17;21.14;8;6.1;12.5;1.66;5.5;0.973;3.11;4.46;0.924
